### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  506   1.161e+04      0.2157      0.4799       0.6956
  507   1.189e+04      0.2156      0.4795       0.6951
  508   1.216e+04      0.2154      0.4791       0.6945
  509   1.245e+04      0.2153      0.4787        0.694
  510   1.274e+04      0.2151      0.4783       0.6934
  511   1.303e+04       0.215      0.4778       0.6928
  512   1.334e+04      0.2148      0.4774       0.6922
  513   1.365e+04      0.2147      0.4769       0.6916
  514   1.396e+04      0.2145      0.4764       0.6909
  515   1.429e+04      0.2144      0.4759       0.6903
  516   1.462e+04      0.2142      0.4754       0.6896
  517   1.496e+04       0.214      0.4749       0.6889
  518   1.531e+04      0.2138      0.4744       0.6882
  519   1.567e+04      0.2137      0.4738       0.6875
  520   1.603e+04      0.2135      0.4733       0.6868
  521   1.641e+04      0.2133      0.4727        0.686
  522   1.679e+04      0.2131      0.4722       0.6853
  523   1.718e+04      0.2129      0.4716       0.6845
  524   1.758e+04      0.2127       0.471       0.6837
  525   1.799e+04      0.2125      0.4704       0.6829
  526   1.841e+04      0.2123      0.4697        0.682
  527   1.884e+04      0.2121      0.4691       0.6812
  528   1.928e+04      0.2119      0.4684       0.6803
  529   1.972e+04      0.2116      0.4678       0.6794
  530   2.018e+04      0.2115      0.4672       0.6787
  531   2.065e+04      0.2115       0.467       0.6784
  532   2.113e+04      0.2114      0.4667       0.6782
  533   2.163e+04      0.2114      0.4665       0.6779
  534   2.213e+04      0.2114      0.4662       0.6776
  535   2.265e+04      0.2113      0.4659       0.6773
  536   2.317e+04      0.2113      0.4656       0.6769
  537   2.371e+04      0.2113      0.4654       0.6766
  538   2.427e+04      0.2112      0.4651       0.6763
  539   2.483e+04      0.2112      0.4648       0.6759
  540   2.541e+04      0.2111      0.4645       0.6756
  541     2.6e+04      0.2111      0.4641       0.6752
  542   2.661e+04      0.2111      0.4638       0.6749
  543   2.723e+04       0.211      0.4635       0.6745
  544   2.786e+04       0.211      0.4631       0.6741
  545   2.851e+04      0.2109      0.4628       0.6737
  546   2.917e+04      0.2109      0.4624       0.6733
  547   2.985e+04      0.2108      0.4621       0.6729
  548   3.055e+04      0.2108      0.4617       0.6725
  549   3.126e+04      0.2107      0.4613       0.6721
  550   3.199e+04      0.2107      0.4609       0.6716
  551   3.273e+04      0.2107      0.4605       0.6712
  552    3.35e+04      0.2106      0.4601       0.6707
  553   3.428e+04      0.2105      0.4597       0.6703
  554   3.508e+04      0.2105      0.4593       0.6698
  555   3.589e+04      0.2104      0.4589       0.6693
  556   3.673e+04      0.2104      0.4584       0.6688
  557   3.758e+04      0.2103       0.458       0.6683
  558   3.846e+04      0.2103      0.4575       0.6678
  559   3.936e+04      0.2102       0.457       0.6672
  560   4.027e+04      0.2101      0.4565       0.6667
  561   4.121e+04      0.2101       0.456       0.6661
  562   4.217e+04        0.21      0.4555       0.6655
  563   4.315e+04        0.21       0.455       0.6649
  564   4.416e+04      0.2099      0.4544       0.6643
  565   4.519e+04      0.2098      0.4539       0.6637
  566   4.624e+04      0.2097      0.4533       0.6631
  567   4.732e+04      0.2097      0.4528       0.6624
  568   4.842e+04      0.2096      0.4522       0.6618
  569   4.955e+04      0.2095      0.4516       0.6611
  570    5.07e+04      0.2095      0.4513       0.6608
  571   5.188e+04      0.2095      0.4512       0.6607
  572   5.309e+04      0.2095      0.4511       0.6606
  573   5.433e+04      0.2095       0.451       0.6605
  574   5.559e+04      0.2095      0.4509       0.6604
  575   5.689e+04      0.2095      0.4508       0.6603
  576   5.821e+04      0.2095      0.4507       0.6602
  577   5.957e+04      0.2095      0.4506         0.66
  578   6.095e+04      0.2095      0.4504       0.6599
  579   6.237e+04      0.2095      0.4503       0.6598
  580   6.383e+04      0.2095      0.4502       0.6597
  581   6.531e+04      0.2095      0.4501       0.6596
  582   6.683e+04      0.2095        0.45       0.6595
  583   6.839e+04      0.2095      0.4498       0.6593
  584   6.998e+04      0.2095      0.4497       0.6592
  585   7.161e+04      0.2095      0.4496       0.6591
  586   7.328e+04      0.2095      0.4494       0.6589
  587   7.499e+04      0.2095      0.4493       0.6588
  588   7.674e+04      0.2095      0.4492       0.6587
  589   7.852e+04      0.2095       0.449       0.6585
  590   8.035e+04      0.2095      0.4489       0.6584
  591   8.222e+04      0.2095      0.4487       0.6582
  592   8.414e+04      0.2095      0.4486       0.6581
  593    8.61e+04      0.2095      0.4484       0.6579
  594    8.81e+04      0.2095      0.4483       0.6577
  595   9.016e+04      0.2095      0.4481       0.6576
  596   9.226e+04      0.2095      0.4481       0.6576
  597   9.441e+04      0.2097      0.4482       0.6579
  598   9.661e+04      0.2098      0.4483       0.6581
  599   9.886e+04      0.2099      0.4485       0.6583
  600   1.012e+05        0.21      0.4486       0.6586
  601   1.035e+05      0.2101      0.4487       0.6588
  602   1.059e+05      0.2102      0.4489       0.6591
  603   1.084e+05      0.2103       0.449       0.6594
  604   1.109e+05      0.2105      0.4492       0.6596
  605   1.135e+05      0.2106      0.4493       0.6599
  606   1.161e+05      0.2107      0.4495       0.6602
  607   1.189e+05      0.2109      0.4496       0.6605
  608   1.216e+05       0.211      0.4498       0.6608
  609   1.245e+05      0.2112      0.4499       0.6611
  610   1.274e+05      0.2113      0.4501       0.6614
  611   1.303e+05      0.2115      0.4503       0.6618
  612   1.334e+05      0.2116      0.4505       0.6621
  613   1.365e+05      0.2118      0.4506       0.6624
  614   1.396e+05      0.2119      0.4508       0.6628
  615   1.429e+05      0.2121       0.451       0.6631
  616   1.462e+05      0.2123      0.4512       0.6635
